Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
386;Malawi;53.31874866;-2.765321745;-51.15947057;-9.956823841;-6.46913527;15.36557354;10.01062009;0.06410892
346;Kenya;16.86714853;-15.21214117;-9.327546429;30.0247068;11.40523189;-8.570182043;38.92301618;-22.53862369
95;Kosovo;16.37223647;-29.12419916;-1.493749233;-4.397002338;8.821119896;-8.89510818;55.09664782;36.45571823
97;Montenegro;-38.7607585;9.145863394;199.8891644;2.516827589;-40.06483832;-9.918451767;39.55616455;2.648694421
653;Yemen;4022.469678;19.25784576;-97.91738715;265.572604;27.87445666;341.1158155;39.21949627;130.6122729
442;Panama;-53.13615351;-4.106153354;-38.98762308;168.9933315;10.72562656;-70.5747826;227.6729362;-58.30599986
370;Madagascar;80.62865825;-13.21736608;-49.36978101;83.89640816;-36.49021867;36.34081179;49.49080006;9.752880963
672;Nepal;37.49952896;-10.54061675;95.66318797;75.46702907;-23.1420317;-34.75052721;-46.32507745;9.973598947
382;Zimbabwe;-45.62439094;-18.59971781;58.35364231;18.58970286;-40.12814492;70.08611158;5.108799892;7.804133813
416;Guatemala;-30.43427412;195.1282059;-14.97395237;-60.15044907;-24.40756491;14.67195534;30.3307185;-20.30023021
322;Democratic Rep. of the Congo;259.8093273;-38.90769896;-72.36217997;-67.98192229;-29.68873431;-94.06352675;103.9099922;1290.737134
236;Burkina Faso;-38.962698;107.3264907;-3.611528768;39.18803607;-86.09308481;132.2491275;-63.57449376;66.29355074
284;Benin;-8.573239896;87.92542346;7.353104064;616.348443;19.79897423;-40.72800608;-65.67946034;115.0457242
448;Cuba;-25.72269749;38.29061624;-12.09770052;4.378767722;-7.124620488;4.208276051;-35.6623396;-16.26984118
350;Uganda;48.47782071;-46.29459612;63.09570121;-23.65491579;21.82578351;-27.24140193;21.44618137;17.56201324
625;State of Palestine;84.61609168;-10.97740675;49.38762371;43.83314376;40.22480095;28.01712283;298.397617;-71.07186835
330;Angola;-37.99220757;-96.39258857;3243.607255;-76.89140926;46.09323789;14.95809178;81.95764714;141.0805633
248;Senegal;-17.02814991;15.43932657;8.005619633;-12.89651717;152.0808684;-19.46671589;86.3896861;-46.78624761
424;Honduras;-59.20976552;51.05124822;141.0280692;-36.09044124;-34.52070347;39.01584917;18.98501397;71.29749785
264;Sierra Leone;10.30658751;-92.97601643;122.6257995;-76.88842245;197.6524546;4.643213739;-39.29537134;358.1699405
260;Guinea;-56.19063954;-32.00309732;55.41929465;217.6605459;264.2699824;-92.64257025;3230.239825;-95.21554718
375;Comoros;-81.57035258;-34.05672751;-94.06508822;7747.468714;124.7850501;4.494183651;-40.26024774;44.92613813
520;Paraguay;27.58262543;-65.79423595;95.12315031;23.46150932;-66.17929746;-65.63451923;-88.26904461;57.3179546
